id,version_id,content_sha256,title,primary_topic,subtopic,secondary_topics,evidence,reason,review_status,quality_flag,validation_status
343,141,91209dd92b9fb4e237edf08c8fbf6e1996742c9bbbd9d5e55fe2c3ed36047a54,双手背部向上拉伸,柔韧与活动度,肩背后伸展活动度,,右手用力将毛巾上拉,背后上侧手牵毛巾带动下侧臂伸展以增加肩部活动范围。,proposed,,passed
344,142,d865892b4e2b91a8c9b2c72841408a2f2fc324b3611a615012fcb4c7b5e06c07,仰卧屈肘前倒,柔韧与活动度,肩旋转辅助伸展,,将训练者前臂向下方推向垫子方向,暂按固定肩后旋转前臂归肩活动度；安全句断裂及残句错位需补全且所列靶肌需专业复核。,needs_review,专业复核,passed
345,143,509cc4c0fa2bcf167538f5d50ab33d70e88ca4fc9076e73de20d8255d98a1c47,直臂后旋,柔韧与活动度,肱二头肌伸展,,上肢向斜后方抬的时候，前臂内旋,直肘后伸配合前臂转动按明确目标用于上臂前侧肌肉拉伸。,proposed,,passed
346,144,b4e2d6c591c73a31f9c37ebc54f685e4ccea170ff0f3fed27353dac332513692,直臂后撑下蹲,柔韧与活动度,肱二头肌与肩前侧伸展,,左手位置始终保持不变，屈膝降低上身高度,固定身后手臂再下蹲增加肩后伸以拉伸上臂前侧。,proposed,,passed
347,145,02560f82fe06dd6815520c6f9b39b0fc404ccf276513b2dfcbe391ca71e6a610,坐姿双臂后夹,柔韧与活动度,肩前侧与胸部辅助伸展,安全防护与健康边界,先向上提拉训练者双臂至最大幅度后将两臂向中间靠拢,后拉并夹拢双臂以伸展胸肩和上臂；最大幅度提拉与限幅提示冲突需专业审查。,proposed,专业复核,passed
348,146,ef16dfa3503a1f16fd8a8fa8bd89ae98aee5e5c916ab1bf949c371cc2559bbe2,坐姿屈肘后拉,柔韧与活动度,肱三头肌伸展,,拉伸肱三头肌肌群,上举屈肘置于脑后并由对侧手推肘直接拉伸上臂后侧。,proposed,,passed
349,147,950a94afee720bc9cfb4f8120ee5f82031b58acf1e97298d6f2434bf42035d57,站姿靠墙拉肘,柔韧与活动度,肱三头肌伸展,,右手加压使左肘关节屈度增加,靠墙固定上臂再增加屈肘角度以拉伸肱三头肌。,proposed,,passed
350,148,d3fac21e8e90c8264c131096ed17e017c1b31b14e4f030b1036c3d150d8beb37,肩上屈臂拉肘,柔韧与活动度,肱三头肌辅助伸展,,左前臂置于头部后方,辅助者固定高举手臂并增加屈肘幅度服务肱三头肌拉伸。,proposed,,passed
351,149,d71b7d88199af735586db035218f231c59c7a6cda457364c3c9b997022c0df54,五指交叉腹前反压,柔韧与活动度,前臂屈肌与腕伸展,,拉伸前臂屈肌肌群,十指交叉反掌前推至伸肘主要牵拉前臂屈肌。,proposed,,passed
352,150,b82728342f112376bd7922fa03807e62722470933cc45c5077edd70cb6bf3f04,压手掌,柔韧与活动度,前臂屈肌与腕伸展,,右手握住左手掌向下向后进行拉伸,对侧手带动掌心上向的手掌后压用于前臂屈肌伸展。,proposed,,passed
353,151,fee2ab66d57c4edb9ea4198f9dd6ce8856c65ed9319cef13bd60faa6607fcf4b,跪姿双手反压,柔韧与活动度,前臂屈肌与腕伸展,,五指向后指向自己，大拇指朝外,反向手指撑地并后移重心通过腕背伸牵拉前臂屈肌。,proposed,,passed
354,152,564c1ba10ced8eb9bcc56a5bd247dc6fc992040b92d4be2d5fa48767181a0849,辅助直臂压掌,柔韧与活动度,前臂屈肌辅助伸展,,将手掌向下、向后压，向内旋转,辅助者固定手腕并压掌形成前臂屈肌的被动拉伸。,proposed,,passed
355,153,dcce303e447a0f1463bc9b198d12442090820ee5a6be0fc3dc400e85cb34d1c5,握拳直臂下压,柔韧与活动度,前臂伸肌与腕屈曲,,将左拳向下向后拉伸,伸肘握拳后屈腕下压针对前臂伸肌伸展。,proposed,,passed
356,154,cbe3d50369e525d06bbcdae2193cc037983a1c7ffa6528fecd42f59e0f325165,前臂内旋,柔韧与活动度,前臂伸肌与腕旋转伸展,,使左手手腕屈并向内旋转拉伸,屈腕配合旋转的拉伸动作围绕前臂伸肌柔韧目标。,proposed,,passed
357,155,a5125850db5c477f0327bb13fbf5b8e9af025f1d92f4f294b42f35c833aa991e,辅助前臂下压,柔韧与活动度,前臂伸肌辅助伸展,,将训练者左手掌心向下、向后拉伸,辅助者固定前臂后压掌并旋转以完成前臂伸肌被动伸展。,proposed,,passed
358,156,e58076fb3d1ed99d6ddcd98182fce749e3d44f7f3ab94dc1fe4211498d515358,前臂高抬屈肘外旋,柔韧与活动度,高位胸肌与肩部伸展,安全防护与健康边界,肩关节外旋向外打开，外旋应大于90°,高位固定前臂后开肩意在拉伸胸肌；统一要求肩外旋超过90度的适用性需专业复核。,proposed,专业复核,passed
359,157,d0e9c33e70f57c844416a1160cac66624fa31205038ef83a3e179edae1a42e3b,前臂平抬屈肘外旋,柔韧与活动度,平位胸肌与肩部伸展,安全防护与健康边界,肘关节与肩膀平齐,平肩固定前臂再打开肩部实施胸肌拉伸；统一外旋角度门槛及下束定位需专业复核。,proposed,专业复核,passed
360,158,6ef57605c06187372618f4a7553b4013f62445ba3cc53a466a5a13cfa72cf8f3,前臂低位屈肘外旋,柔韧与活动度,低位胸肌与肩部伸展,安全防护与健康边界,肩关节外旋向外打开，外旋应大于90°,低肘位固定前臂开肩服务胸肌伸展；强制外旋角度及靶肌束对应需专业复核。,proposed,专业复核,passed
361,159,4ce806f45d7c1c647c9c72c309197b67ac4bd723430377f7d9311e2d5f902f23,双手脑后抱头扩胸,柔韧与活动度,胸肌辅助伸展,安全防护与健康边界,双手握住其上臂并单腿抵住训练者脊柱,后拉双臂的主旨为扩胸拉伸；辅助者单腿直接抵住脊柱施力且无保护说明需专业复核。,proposed,专业复核,passed
362,160,b0ec5a6665e7c7572fd34f1d667c7d0055d65dc2749ff72bf4fcbdcb69ebd7d6,屈肘抱头外展,柔韧与活动度,胸肌伸展,,两侧肩胛骨向中紧压，肘部向后拉伸,抱头开肘的肩胛内收用于实现正文明确的胸部拉伸目标。,proposed,,passed
363,161,20122944d588e7f71803cecd4b29fe776a259f2801e00993f46d4e50f5fa0bc0,卧式伸展,柔韧与活动度,胸肌伸展,,训练时上臂用力向后伸展,背部支球后双臂后伸形成胸部牵拉且正文给出动静态拉伸剂量。,proposed,,passed
364,162,635a16ec0457fd47ec466c50dfa426c12358e76a55d41c34ed70e832bb78d6e3,屈肘支撑外展,柔韧与活动度,胸肌与肩部伸展,,训练时上半身慢慢旋转至原来固定前臂的位置,目标明确指向胸部拉伸但躯干转向描述无法清楚确定伸展方向需补正文复核。,needs_review,,passed
365,163,698c736a15159d880b3d0ee917c267d514ead7e03cc30f3f5958cf07daa6f610,坐姿后拉上臂,柔韧与活动度,胸肌辅助伸展,,将训练者上臂往后上方拉伸,坐姿抱头由辅助者后拉上臂以拉伸胸部并按反应调整力度。,proposed,,passed
366,164,6ee32e3c0545cba27fb94fdbe514504395f9f73ddd598f2d789f8ef841208afb,盘腿前倾,柔韧与活动度,背部屈曲伸展,,上半身向前弯曲，直至最大拉伸限度,坐姿抱踝前屈以背部肌群伸展为明确目标。,proposed,,passed
367,165,ef3c58e9adfb4d173598b7a9cad4c657c3e62e12052ff607fd2d95b981b318bc,仰卧屈膝外旋,柔韧与活动度,躯干旋转与背部伸展,,右手用力下压左膝，使之贴近垫子,仰卧交叉屈腿并压膝形成躯干扭转以完成背部肌群拉伸。,proposed,,passed
368,166,becee85543b4eac5174d95e44c57cbc031162917f6d826fbaa0777625166de0b,坐姿前倾抱腿,柔韧与活动度,上背与斜方肌伸展,,拉伸斜方肌及相关背部肌群,坐姿抱大腿前倾并低头以伸展上背肌群为明确任务。,proposed,,passed
369,167,59a0bc6d53fa2fd683a8bedf805fa93d64a32cfc9c84eab6afb35da8fc3244a4,动态合掌环绕,柔韧与活动度,中背与肩胛间肌群伸展,,同时挤压胸部，拉伸中背部,合手含胸与打开双臂交替用于菱形肌及中背动态伸展。,proposed,,passed
370,168,572f8b7ef72835e902e79d9a4ef5653dffcf6b50a8e7c9e55c3cc15f74c4067f,动态骨盆前倾,柔韧与活动度,腰盆屈伸活动度,基础动作与身体控制,首先收缩腹肌，收拢脊椎下尾,腹部与下背交替收缩带动骨盆倾转以动态拉伸躯干伸肌。,proposed,,passed
371,169,8c15c1460b285f50e9c9fb8fb8baac5f5825e74a473479d30e5e3f33cfeca46e,侧向伸展,柔韧与活动度,腰方肌与躯干侧屈伸展,,身体向右侧倾，左手尽量向右下压,分腿坐姿侧倾加上举臂延伸主要牵拉腰侧肌群。,proposed,,passed
372,170,5d5c291cd99c10ace552e811426f1a7856d8006ebd4163747505d0efb7cf67ab,坐姿屈膝扭转,柔韧与活动度,胸腰椎旋转活动度,,以此借力将上体扭转至一侧,坐姿借手支撑转体围绕回旋肌拉伸及脊柱旋转活动。,proposed,,passed
373,171,845a5aaf85075324481d6a6c3491cb5ea00ba4bb6a7931becbf336187283a080,坐姿侧向伸展,柔韧与活动度,腰方肌与躯干侧屈伸展,,左手上举，上臂尽可能贴近耳旁,上举臂配合躯干侧倾增加腰方肌及侧躯干伸展。,proposed,,passed
374,172,553568008ee5490bea43f285e7b04104e872bc290791550def1c3ee931e40eb7,仰卧屈膝外压腿,柔韧与活动度,躯干旋转辅助伸展,,左手固定训练者右肩贴在垫上,固定肩部并压交叉腿用于背部拉伸；仰卧步骤与上体垂直安全要求互相矛盾需补正和专业复核。,needs_review,专业复核,passed
375,173,6a006b38b171a93764aeab0d89c3dbba5a5a413d548ceff593915a9f3dfc6c5b,弓形卧姿,柔韧与活动度,腹部与躯干前侧伸展,,下背部离开垫面缓缓呈拱形,仰卧伸长四肢并缓慢拱起躯干以腹肌静态拉伸为明确目标。,proposed,,passed
376,174,2755ca59646a57a75212f3f12f46506481115bc094dce2ec07649ef1d268e98c,动态眼镜蛇式,柔韧与活动度,腹部动态伸展,,将胸部和肋部从垫上抬起,俯卧主动抬胸后复位用于反复牵拉腹部肌群。,proposed,,passed
377,175,5a1d57a18792bfded8af1008204c05aafe5e7bd0fcda2a87fbfd37a9a9a2c7ca,静态眼镜蛇式,柔韧与活动度,腹部静态伸展,,将胸部和肋骨最大限度地从地板上抬起,双手撑起上身后保持的任务服务腹部肌肉静态拉伸。,proposed,,passed
378,176,7efce9af9e3062f6bcd97af8e7a53435a0616bd100a499510216f0255d7ac443,仰卧回滚,柔韧与活动度,腹部动态伸展,,一次训练后恢复至起始姿势，释放拉伸运动,背部随球回滚伸展再释放以腹部柔韧为明确目标。,proposed,,passed
379,177,c92386385c1646c5ebee5d90567c17f3e6a78bcdb02d926285a3bd5be774a22a,卧球下压,柔韧与活动度,腹部辅助后伸,安全防护与健康边界,右手用力，将训练者上身压向地面,固定骨盆压低上身意在拉伸腹部；球上被动后伸施力缺少边界且主动拉伸标签与步骤不符需复核。,proposed,专业复核,passed
380,178,83f82c272102b282d923f391ccfa2999baf14b21449b1438f8016a74c9072280,动态推髋,柔韧与活动度,臀部与髋外侧伸展,,训练时，直腿侧髋部向外推,握支撑物后侧推髋再释放用于臀部肌群动态拉伸。,proposed,,passed
381,179,8005411a0d04931a57793368e5ac81be3c8a824a0eec36b369fd381b4341ff0d,盘腿前压,柔韧与活动度,臀部与梨状肌伸展,,上半身向前靠近前侧大腿,前腿屈膝后腿伸展并前压躯干以牵拉前腿侧臀部组织。,proposed,,passed
382,180,d2c907ad463f0eb1e653082a437c0198e6485035e35070aaa5f07a3dabb52de4,卧式“4”字拉伸,柔韧与活动度,臀部与梨状肌伸展,,双手将左侧大腿向胸部方向拉近,仰卧四字交叉腿后抱腿近胸以伸展臀部和髋外旋相关肌群。,proposed,,passed
383,181,6f2bf83d94b7a2d8c5bdb3b519e27c1397037bf32cda164cccf63a4a5767bd68,仰卧前推大腿,柔韧与活动度,臀部辅助伸展,,将训练者左侧大腿向内及前上方推,辅助屈髋内收方向推大腿实现明确的臀部肌肉拉伸目标。,proposed,,passed
384,182,82f48372c9c6bd7179a0f7fd1fc8a52dd0f4a79d125698fe0dbceec0bc0d2202,跪姿弓步下压,柔韧与活动度,髋屈肌伸展,,身体重心前移，使双腿打开幅度增加,半跪弓步前移重心增加后侧髋伸展以拉伸髋屈肌。,proposed,,passed
385,183,487a3948b71e216d20443ce3be042a2477df818cca5cc2850712eaa9a27133c2,俯卧抬腿,柔韧与活动度,髋屈肌辅助伸展,,一手按住训练者骨盆，固定骨盆使其平行贴于垫上,辅助者固定骨盆再抬大腿构成被动髋伸展以牵拉髋屈肌。,proposed,,passed
386,184,32c595676dc3bb215fa3628f71afdae7ff3aa312041d60049ea8269fb2595721,坐姿蝶形拉伸,柔韧与活动度,大腿内收肌伸展,,收缩大腿外侧，使双膝靠近垫面,坐姿脚心相对主动开膝以下肢内收肌拉伸为明确目标。,proposed,,passed
387,185,ee02fafc2c16cdc835ef759cf188b468640da8f51831b9889f0f1cc88b0ffa62,仰卧蝶形拉伸,柔韧与活动度,大腿内收肌辅助伸展,,将训练者大腿逐渐推向垫面,仰卧蝶式由辅助者下推两侧大腿扩大髋外展以伸展内收肌。,proposed,,passed
388,186,943cd3c09d5d85f4353efeaa9a6b8606c0d7e30699bbd6614db2f11aa18220da,侧卧屈膝,柔韧与活动度,股四头肌伸展,,拉动脚踝使脚后跟向臀部靠近,侧卧屈膝拉跟向臀通过增加膝屈曲牵拉大腿前侧肌群。,proposed,,passed
389,187,43bbe19bd9fe56075fb9365da0d2a2718e29462ebefea24c7891e84286742b1a,俯卧屈膝下压,柔韧与活动度,股四头肌辅助伸展,,将训练者小腿向前下方按压，使之靠向大腿后侧,俯卧固定骨盆与大腿后辅助屈膝以拉伸股四头肌。,proposed,,passed
390,188,e6c25d92f2df119f59e9a0e20642792e5bd99f0c19364595f6040a597038938f,提膝前踢,柔韧与活动度,腘绳肌伸展与膝活动度,,拉伸腘绳肌。2)提高膝关节灵活性,固定抬高的大腿再伸膝保持以伸展腘绳肌并增加膝活动范围。,proposed,,passed
391,189,d123a3e675c48248b1d8e83449b9f858adfb9e12b8cbaaa8623cbf0f670b1fa5,仰卧举腿伸膝,柔韧与活动度,腘绳肌辅助伸展,安全防护与健康边界,固定大腿，将训练者膝关节最大限度伸直,屈髋固定后伸膝主要牵拉腘绳肌；辅助者追求最大伸膝且无施力停止边界需专业复核。,proposed,专业复核,passed
392,190,76f592416a542710bea4ac13fe8fe16cb41083ba43615bf0ec222c808158d370,脚跟下压,柔韧与活动度,小腿后侧与踝背屈活动度,,拉伸腓肠肌、跟腱及小腿肌群,台阶直膝沉跟通过踝背屈拉伸小腿后侧且正文以拉伸为首要目标。,proposed,,passed
393,191,ef028e360656b1eb255b3d1db68441c76a12e3e2c0840b5f44e7b0d8da0231bb,仰卧抬腿压脚掌,柔韧与活动度,小腿后侧辅助伸展,安全防护与健康边界,利用身体重量按压脚掌,借脚掌后压牵拉小腿后侧；辅助者用体重追求最大范围且缺少限力规则需专业复核。,proposed,专业复核,passed
394,192,beb19eb08c21974ff0ba9f427397cb4424b6f9da4858eb43a4d402da85d392f9,坐姿下压或后仰,柔韧与活动度,胫骨前肌与踝跖屈伸展,,重心向后移，使膝关节离地,跪姿后移并抬膝使踝前侧延长以胫骨前肌静态拉伸为目标。,proposed,,passed
395,193,673107de0520e5ea9327bfbf5e4451b53a656dc71145db885cef76c8366e8de2,脚背下压,柔韧与活动度,胫骨前肌辅助伸展,,右手握住脚背向下用力按压,固定小腿后下压脚背形成踝跖屈以牵拉胫骨前肌。,proposed,,passed
396,194,2077ad330f0eedaeb5638a14c4e7cf4c23d59315374660862da79871d4d75258,侧卧脊椎扭转,柔韧与活动度,躯干旋转与胸臀联合伸展,,拉伸臀肌、胸肌和躯干伸肌,侧卧开臂配合头与髋反向转动用于胸臀及躯干的联合拉伸。,proposed,,passed
397,195,fbe81f48e003c25f5d5813665041f66a56494582c3ac513b9985b01704c007f0,站姿三角式,柔韧与活动度,内收肌与躯干联合伸展,,拉伸大腿内收肌、胸腰椎回旋肌和躯干伸肌,宽站位侧倾转体牵拉大腿内侧与躯干并增加扭转活动。,proposed,,passed
398,196,bbb21b5f3717e4a075d8ae916dd9088902275bfb8c9006505a8b90277c5be036,弓步旋转,柔韧与活动度,髋部与躯干旋转伸展,,拉伸臀肌、腹肌与髋部屈肌,弓步举臂转体用于髋屈肌及躯干前侧伸展与旋转活动。,proposed,,passed
399,197,1689a85ed61b9c844464821dc806126f962091fed33660c1a1573cbb0a2202af,立位体前屈,柔韧与活动度,腘绳肌与背部伸展,,拉伸腘绳肌和躯干伸肌,站姿屈髋前倾抱腿以大腿后侧和背部伸展为明确目的。,proposed,,passed
400,198,9e71f3d327b7bf04666ef242219c3fd1e34d08d94b0c52eb53bc77564d4a3ee6,反式平板,柔韧与活动度,肩前侧与腕屈肌伸展,力量与稳定性,拉伸三角肌、腕部屈肌与肱二头肌,虽采用抬髋仰撑姿势但目标和训练建议明确以肩臂静态拉伸为主。,proposed,,passed
401,199,563d92a31a00ebcf6440cecccfa030f6fd065bbd1534277fba2154623e7909cb,跪姿后仰,柔韧与活动度,身体前侧联合伸展,安全防护与健康边界,头部缓慢后仰放低，形成拱形，最大限度向后倾,跪姿后仰意在腹部肩部及髋前侧拉伸；最大后倾同时头后仰的儿童适用范围需专业复核。,proposed,专业复核,passed
402,200,f4a7ea9a2c4253c427afed5f565497622091d21efb900e9c3d1281e615351ca2,行进间弓步转体,柔韧与活动度,髋活动度与脊柱旋转,力量与稳定性,增加脊椎旋转的活动幅度,正文三项目标中两项为髋及脊柱活动范围扩展并辅以髋稳定。,proposed,,passed
528,326,c909b396dc9f5d0af2f07c52f861a7d0b2495a570bdea1b2a1c18086bbe8d21c,变速跑,耐力与体适能,循环变速跑与速度耐力,速度敏捷与反应,循环进行，绕400米场地1周为1组，重复练习3组,多轮加速与惯性跑累计成较长循环，主负荷为反复维持跑动能力。,proposed,无,passed
530,328,ae6d57f689e875c969912980f46161e279f56cb5432612ce18f7b18b9856f187,不同强度反复跑,耐力与体适能,分强度反复跑与恢复,速度敏捷与反应,注意控制好休息时间，反复练习,同时涵盖中长距离反复跑与短距全速跑，暂归反复负荷训练；主目标随组别变化需复核。,needs_review,无,passed
541,339,fa41af5b2df10514b7e5529a1a8c379d16bb2edc0dfe17d039bb4bfe0736f1be,反复跑,耐力与体适能,分强度反复跑与恢复,速度敏捷与反应,85%～90%强度做100～200米反复跑,同段同时给出速度与耐力区间，暂归反复负荷训练；训练组别主次需复核。,needs_review,无,passed
546,344,c2b8ea09433875ab59b9cea4afbe64af342a76dac66f66ed0ee68801bb99aaaa,高抬腿,耐力与体适能,循环变速跑与速度耐力,速度敏捷与反应,循环进行，绕400米场地1周为1组，重复练习3组,全文涵盖多轮加速与惯性跑，应按完整循环负荷分类。,proposed,无,passed
