id,topic_code,subtopic_code,normalization_note
497,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
501,movement,movement_locomotion,按正文主要目标归入走跑与步态。
502,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
503,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
506,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
507,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
508,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
509,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
510,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
511,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
514,movement,movement_locomotion,按正文主要目标归入走跑与步态。
518,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
519,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
520,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
521,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
525,movement,movement_locomotion,按正文主要目标归入走跑与步态。
568,movement,movement_jump,按正文主要目标归入跳跃与落地。
609,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
699,movement,movement_jump,按正文主要目标归入跳跃与落地。
700,movement,movement_jump,按正文主要目标归入跳跃与落地。
701,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
702,movement,movement_jump,按正文主要目标归入跳跃与落地。
708,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
715,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
716,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
732,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
733,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
734,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
735,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
736,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
738,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
740,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
741,movement,movement_jump,按正文主要目标归入跳跃与落地。
743,movement,movement_jump,按正文主要目标归入跳跃与落地。
746,movement,movement_locomotion,按正文主要目标归入走跑与步态。
749,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
751,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
752,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
753,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
758,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
760,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
761,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
762,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
763,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
764,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
767,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
768,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
769,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
790,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
791,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
792,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
793,movement,movement_jump,按正文主要目标归入跳跃与落地。
794,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
795,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
799,movement,movement_jump,按正文主要目标归入跳跃与落地。
820,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
833,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
834,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
843,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
852,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
853,movement,movement_jump,按正文主要目标归入跳跃与落地。
854,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
855,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
857,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
863,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
866,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
867,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
880,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
882,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
887,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
899,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
901,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
903,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
946,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
951,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
958,movement,movement_locomotion,按正文主要目标归入走跑与步态。
959,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
960,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
961,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
962,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
963,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
964,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
966,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
968,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
969,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
971,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
972,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
973,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
974,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
975,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
976,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
977,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
981,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
982,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
991,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
993,movement,movement_locomotion,按正文主要目标归入走跑与步态。
994,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
998,movement,movement_locomotion,按正文主要目标归入走跑与步态。
1002,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
1004,movement,movement_locomotion,按正文主要目标归入走跑与步态。
1006,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
1007,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
1009,movement,movement_locomotion,按正文主要目标归入走跑与步态。
1010,movement,movement_locomotion,按正文主要目标归入走跑与步态。
1011,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
1017,movement,movement_jump,按正文主要目标归入跳跃与落地。
1018,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
1020,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
1033,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
1037,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
1038,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
1061,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
1097,movement,movement_jump,按正文主要目标归入跳跃与落地。
1098,movement,movement_jump,按正文主要目标归入跳跃与落地。
1108,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
1111,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
1114,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
1124,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
1129,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
1131,movement,movement_locomotion,按正文主要目标归入走跑与步态。
1132,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
1135,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
1138,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
1139,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
1140,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
1142,movement,movement_locomotion,按正文主要目标归入走跑与步态。
1178,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
1184,movement,movement_locomotion,按正文主要目标归入走跑与步态。
1214,movement,movement_jump,按正文主要目标归入跳跃与落地。
1221,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
1222,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
1249,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
1254,movement,movement_locomotion,按正文主要目标归入走跑与步态。
1259,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
1270,movement,movement_crawl,按正文主要目标归入爬行与攀爬。
1275,movement,movement_jump,按正文主要目标归入跳跃与落地。
1276,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
1359,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
1363,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
1364,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
1367,movement,movement_jump,按正文主要目标归入跳跃与落地。
1368,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
1375,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
1376,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
1377,movement,movement_manipulation,按正文主要目标归入投接与器物操控。
1379,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
1380,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
1381,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
1586,movement,movement_jump,按正文主要目标归入跳跃与落地。
1587,movement,movement_jump,按正文主要目标归入跳跃与落地。
1588,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
1589,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
1789,movement,movement_balance,按正文主要目标归入平衡与姿势控制。
1815,movement,movement_coordination,按正文主要动作目标归入基础动作与身体控制/协调与节奏。
