id,topic_code,subtopic_code,normalization_note
1762,coach,coach_reflection,长期记录教学效果并持续调整方法
1764,classroom,classroom_participation,为口吃儿童提供低压力及替代参与通道
1772,classroom,classroom_rules,通过有结构的轻松课堂支持规则内化
1774,teaching,teaching_feedback,按熟练程度设计自主觉察错误与纠错机会
1775,teaching,teaching_framework,命名识别确认构成三段式教学框架
1776,teaching,teaching_design,安排自然观察探索及分享的开放学习内容
1777,coach,coach_wellbeing,方法失效时关注教练情绪期待及倦怠
1779,coach,coach_reflection,识别哭声引起的个人触发源并觉察自身反应
1785,coach,coach_wellbeing,处理完美主义自我苛责并支持职业心理状态
1786,coach,coach_reflection,审视个人理想画像和期待并回到事实观察
1788,teaching,teaching_framework,命名辨认输出构成新动作及器材教学框架
1792,assessment,assessment_observation,明确观察对象方法时长与记录的结构化观察
1793,coach,coach_reflection,课前自检状态期待与控制倾向
1794,assessment,assessment_observation,用喜欢和抵制清单形成可追踪偏好记录
1803,classroom,classroom_rules,精简核心规则并嵌入现场情境
1810,classroom,classroom_behavior,识别行为所表达的参与关注和探索需求
1811,teaching,teaching_feedback,设计任务可见结果及内在反馈支持自主纠错
1823,coach,coach_wellbeing,教练运用感官运动和认知工具调节自身情绪
1824,coach,coach_reflection,将职业自责通过自我同情和复盘转化为改进
1826,coach,coach_reflection,以好恶清单觉察教学偏好和关注分配盲区
1827,coach,coach_wellbeing,通过承受范围及拒绝练习管理职业耗竭风险
1828,classroom,classroom_transitions,固定开场信号与序列支持入场状态切换
1829,assessment,assessment_protocol,脉搏线索用于运动强度自我评估暂并指标解读；与814共同提交运动强度监测细分评估；维持待专业复核
1832,safety,safety_load,测评前运动的时间强度时长安全边界；维持待专业复核
1841,teaching,teaching_instruction,用图示结构呈现动作要领以支持理解
1842,teaching,teaching_framework,TEFCAS尝试反馈调整循环作为动作学习框架；维持待专业复核
1843,classroom,classroom_participation,记忆姓名服务公平师生连接及参与支持；记忆技巧为方法描述
1845,teaching,teaching_design,按时间间隔将复习嵌入课程结构
